admin4Name_en,admin4Name_si,admin4Pcode,risk_level,patients,population
04 1/2 Kanuwa,4 ½ කණුව,LK7142090,1,5,60
07 Gammanaya,7 වන ගම්මානය,LK6224040,2,10,120
08 Ela,අටේ ඇල,LK2121105,3,15,180
18A. Janapadaya,18 A ජනපදය,LK5242140,4,20,240
2 Ela - Kagama,කාගම ඇල 2,LK7160115,5,25,300
21 Colony East,21 ජනපදය නැගෙනහිර,LK7127040,1,5,60
21 Colony West,22 ජනපදය බටහිර,LK7127045,2,10,120
80 Yaya,80 යාය,LK2227180,3,15,180
Abakolawewa North,අබකොලවැව උතුර,LK3321105,4,20,240
Abakolawewa North,අබකොළවැව උතුර,LK6112020,5,25,300
Abakolawewa South,අබකොලවැව දකුණ,LK3321100,1,5,60
Abakolawewa South,අබකොළවැව දකුණ,LK6112070,2,10,120
Abasingama,අබසිංගම,LK2112255,3,15,180
Abayapura,අභයපුර,LK5315080,4,20,240
Abbowa,අබ්බෝව,LK6184270,5,25,300
Abesekaragama,අබේසේකරගම,LK3318090,1,5,60
Abeysundarawatta,අබේසුන්දරවත්ත,LK3142150,2,10,120
Abhayapura,අභයපුර,LK3306095,3,15,180
Abhayapura,අභයපුර,LK5212275,4,20,240
Abhayapura,අභයපුර,LK6103090,5,25,300
Abhayapura,අභයපුර,LK7103015,1,5,60
Abhayapura,අභයපුර,LK7209085,2,10,120
Abhayapura,අභයපුර,LK8106150,3,15,180
Abhayapuragama,අභයපුරගම,LK7206065,4,20,240
Abhayawewa,අභයවැව,LK7115130,5,25,300
Abokkagama,ආබොක්කාගම,LK6118015,1,5,60
Achariyagama,ආචාරියගම,LK3318215,2,10,120
Achchankulam,අච්චාන්කුලම්,LK4212105,3,15,180
Achchelu,අචිචෙලූ,LK4118115,4,20,240
Achchuveli North,අචිචූවේලි උතුර,LK4118145,5,25,300
Achchuveli South,අචිචූවේලි දකුණ,LK4118150,3.413793103,17.06896552,204.8275862
Achchuveli West,අචිචූවේලි බටහිර,LK4118155,3.440489433,17.20244716,206.429366
"Acres 20,40,60","අක්කර විස්ස,අක්කර",LK4306035,3.467185762,17.33592881,208.0311457
Acres 400,අක්කර හාරසීය,LK4306040,3.493882091,17.46941046,209.6329255
Adalugoda,ආදළුගොඩ,LK3324200,3.52057842,17.6028921,211.2347052
Adaluwa,ආ‍ඳොළුව,LK9148045,3.54727475,17.73637375,212.836485
Adampan,අඩම්පන්,LK4206125,3.573971079,17.86985539,214.4382647
Adampane,අඩම්පනේ,LK7139075,3.600667408,18.00333704,216.0400445
Adapola,ආඳාපොල,LK6163010,3.627363737,18.13681869,217.6418242
Adapparagama,අඩප්පරගම,LK6239040,3.654060067,18.27030033,219.243604
Adaradeniya,අඩාර‍දෙණිය,LK3206030,3.680756396,18.40378198,220.8453838
Adavikanda,අඩවිකන්ද,LK9106065,3.707452725,18.53726363,222.4471635
Addalachchenai 01,අඩ්ඩාලච්චේන 01,LK5233100,3.734149055,18.67074527,224.0489433
Addalachchenai 02,අඩ්ඩාලච්චේන 02,LK5233075,3.760845384,18.80422692,225.650723
Addalachchenai 03,අඩ්ඩාලච්චේන 03,LK5233110,3.787541713,18.93770857,227.2525028
Addalachchenai 04,අඩ්ඩාලච්චේන 04,LK5233135,3.814238042,19.07119021,228.8542825
Addalachchenai 05,අඩ්ඩාලච්චේන 05,LK5233150,3.840934372,19.20467186,230.4560623
Addalachchenai 06,අඩ්ඩාලච්චේන 06,LK5233095,3.867630701,19.3381535,232.057842
Addalachchenai 07,අඩ්ඩාලච්චේන 07,LK5233115,3.89432703,19.47163515,233.6596218
Addalachchenai 08,අඩ්ඩාලච්චේන 08,LK5233090,3.921023359,19.6051168,235.2614016
Addalachchenai 09,අඩ්ඩාලච්චේන 09,LK5233080,3.947719689,19.73859844,236.8631813
Addalachchenai 10,අඩ්ඩාලච්චේන 10,LK5233085,3.974416018,19.87208009,238.4649611
Addalachchenai 11,අඩ්ඩාලච්චේන 11,LK5233105,4.001112347,20.00556174,240.0667408
Addalachchenai 12,අඩ්ඩාලච්චේන 12,LK5233120,4.027808676,20.13904338,241.6685206
Addalachchenai 13,අඩ්ඩාලච්චේන 13,LK5233130,4.054505006,20.27252503,243.2703003
Addalachchenai 14,අඩ්ඩාලච්චේන 14,LK5233125,4.081201335,20.40600667,244.8720801
Addalachchenai 15,අඩ්ඩාලච්චේන 15,LK5233140,4.107897664,20.53948832,246.4738598
Addalachchenai 16,අඩ්ඩාලච්චේන 16,LK5233145,4.134593993,20.67296997,248.0756396
Addalachchenai 17,අඩ්ඩාලච්චේන 17,LK5233155,4.161290323,20.80645161,249.6774194
Addaragoda,අද්දරගොඩ,LK1336170,4.187986652,20.93993326,251.2791991
Addaragoda,අද්දරගොඩ,LK3142050,4.214682981,21.07341491,252.8809789
Adhikarigoda,අධිකාරීගොඩ,LK1318160,4.24137931,21.20689655,254.4827586
Adhikarigoda,අධිකාරීගොඩ,LK1327085,4.26807564,21.3403782,256.0845384
Adhiranigama,අධිරාණිගම,LK7148150,4.294771969,21.47385984,257.6863181
Adikarigama,අධිකාරිගම,LK2306025,4.321468298,21.60734149,259.2880979
Adikarigoda,අධිකාරිගොඩ,LK1324345,4.348164627,21.74082314,260.8898776
Adikkandiya,අඩික්කණ්ඩිය,LK1206055,4.374860957,21.87430478,262.4916574
Adippala,අඩිප්පල,LK6230105,4.401557286,22.00778643,264.0934372
Adukkane,අඩුක්කනේ,LK6148150,4.428253615,22.14126808,265.6952169
Adungama Palkumbura,අදුන්ගම පල්කුඹුර,LK2103290,4.454949944,22.27474972,267.2969967
Adurathvila,අඳුරත්විල,LK3127255,4.481646274,22.40823137,268.8987764
Agalabada,අගලබඩ,LK3325155,4.508342603,22.54171301,270.5005562
Agalawatta,අගලවත්ත,LK1333065,4.535038932,22.67519466,272.1023359
Agalegedara,අගලෙගෙදර,LK1209200,4.561735261,22.80867631,273.7041157
Agaliya,අගලිය,LK3130065,4.588431591,22.94215795,275.3058954
Agappala,අගප්පල,LK2306385,4.61512792,23.0756396,276.9076752
Agara Uda,අගාරඋඩ,LK6118055,4.641824249,23.20912125,278.5094549
Agarapathana,ආගරපතන,LK2312350,4.668520578,23.34260289,280.1112347
Agarawala,ආගරවල,LK3245040,4.695216908,23.47608454,281.7130145
Agare,අගාරේ,LK6127280,4.721913237,23.60956618,283.3147942
Agbopura,අග්බෝපුර,LK3306110,4.748609566,23.74304783,284.916574
Agbopura,අග්බෝපුර,LK4306100,4.775305895,23.87652948,286.5183537
Agbopura,අග්බෝපුර,LK5321100,4.802002225,24.01001112,288.1201335
Agbopura,අග්බෝපුර,LK7203250,4.828698554,24.14349277,289.7219132
Aggalaulpatha,අග්ගලාඋල්පත,LK8109015,4.855394883,24.27697442,291.323693
Agra Pedesa,අග්‍රා පෙදෙස,LK1115060,4.882091212,24.41045606,292.9254727
Agrahera,අග්‍රහැර,LK3321245,4.908787542,24.54393771,294.5272525
Agulmaduwa,අඟුල්මඩුව,LK3330115,4.935483871,24.67741935,296.1290323
Ahangama Central,අහංගම මධ්‍යම,LK3154275,4.9621802,24.810901,297.730812
Ahangama East,අහංගම නැගෙනහිර,LK3154290,4.988876529,24.94438265,299.3325918
Ahangama Nakanda,අහංගම නාකන්ද,LK3154210,5.015572859,25.07786429,300.9343715
Ahangamgoda,අහංගම්ගොඩ,LK3154220,5.042269188,25.21134594,302.5361513
Ahaspokuna North,අහස්පොකුණ උතුර,LK2127255,5.068965517,25.34482759,304.137931
Ahaspokuna South,අහස්පොකුණ දකුණ,LK2127280,5.095661846,25.47830923,305.7397108
Ahathimurippu,අහතිමුරිප්පු,LK4215050,5.122358176,25.61179088,307.3414905
Ahugammana,අහුගම්මන,LK1233185,5.149054505,25.74527253,308.9432703
Ahugoda East,අහුගොඩ නැගෙනහිර,LK6187005,5.175750834,25.87875417,310.5450501
Ahugoda Meda,මැද අහුගොඩ,LK6187030,5.202447164,26.01223582,312.1468298
Ahugoda West,අහුගොඩ බටහිර,LK6187035,5.229143493,26.14571746,313.7486096
Ahungalla,අහුංගල්ල,LK3106075,5.255839822,26.27919911,315.3503893
Air Force Camp,ගුවන් හමුදා කඳවුර,LK1206205,5.282536151,26.41268076,316.9521691
Aiwela,අයිවෙල,LK8209035,5.309232481,26.5461624,318.5539488
Aiyathigewewa,අයියතිගෙවැව,LK7106100,5.33592881,26.67964405,320.1557286
Akade,අකාඩේ,LK6160205,5.362625139,26.8131257,321.7575083
Akadegoda,අකාඩෙ‍ගොඩ,LK3103155,5.389321468,26.94660734,323.3592881
Akaragama East,අකරගම නැගෙනහිර,LK1209105,5.416017798,27.08008899,324.9610679
Akaragama North,අකරගම උතුර,LK1209115,5.442714127,27.21357063,326.5628476
Akaragama West,අකරගම බටහිර,LK1209110,5.469410456,27.34705228,328.1646274
Akaragana North,අකරගන උතුර,LK6154210,5.496106785,27.48053393,329.7664071
Akaragana South,අකරගන දකුණ,LK6154230,5.522803115,27.61401557,331.3681869
Akarahediya,අකරහැඩිය,LK2224025,5.549499444,27.74749722,332.9699666
Akarangaha,අකරන්ගහ,LK1209090,5.576195773,27.88097887,334.5717464
Akaravita,අකරවිට,LK1115085,5.602892102,28.01446051,336.1735261
Akaravita,අකරවිට,LK1224045,5.629588432,28.14794216,337.7753059
Akarawatta,අකරවත්ත,LK6145280,5.656284761,28.2814238,339.3770857
Akarella,අකරැල්ල,LK9121075,5.68298109,28.41490545,340.9788654
Akbar Town,අක්බාර්ටවුන්,LK1233460,5.709677419,28.5483871,342.5806452
Akbarpura,අක්බාර්පුර,LK7206205,5.736373749,28.68186874,344.1824249
Akkara 50,අක්කරපනහ,LK1206145,5.763070078,28.81535039,345.7842047
Akkara 500,අක්කර 500,LK7160120,5.789766407,28.94883204,347.3859844
Akkara 70,අක්කර 70,LK7203105,5.816462736,29.08231368,348.9877642
Akkara Asoowa,අක්කර අසූව,LK1324165,5.843159066,29.21579533,350.5895439
Akkara Panaha,අක්කර පනහ,LK3236040,5.869855395,29.34927697,352.1913237
Akkara Panaha,අක්කරපනහ,LK6163405,5.896551724,29.48275862,353.7931034
Akkara Seeya,අක්කරසීය,LK8142175,5.923248053,29.61624027,355.3948832
Akkaragoda,අක්කරගොඩ,LK1321320,5.949944383,29.74972191,356.996663
Akkaragoda,අක්කරගොඩ,LK1324205,5.976640712,29.88320356,358.5984427
Akkaraipattu 01,අක්කරපත්තු 1,LK5236070,6.003337041,30.01668521,360.2002225
Akkaraipattu 02,අක්කරපත්තු 2,LK5236090,6.03003337,30.15016685,361.8020022
Akkaraipattu 03,අක්කරපත්තු 3,LK5236095,6.0567297,30.2836485,363.403782
Akkaraipattu 04,අක්කරපත්තු 4,LK5236035,6.083426029,30.41713014,365.0055617
